C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/02/28,14:30:16,0000000505579996,DEMAND,0000000505579994
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/02/28 14:00:00",NSW1,3879.677,0.6,SATELLITE,"2026/02/28 14:20:19"
D,ROOFTOP,ACTUAL,2,"2026/02/28 14:00:00",QLD1,3994.661,0.6,SATELLITE,"2026/02/28 14:20:19"
D,ROOFTOP,ACTUAL,2,"2026/02/28 14:00:00",SA1,259.527,0.6,SATELLITE,"2026/02/28 14:20:19"
D,ROOFTOP,ACTUAL,2,"2026/02/28 14:00:00",TAS1,184.895,0.6,SATELLITE,"2026/02/28 14:20:19"
D,ROOFTOP,ACTUAL,2,"2026/02/28 14:00:00",VIC1,1821.706,0.6,SATELLITE,"2026/02/28 14:20:19"
C,"END OF REPORT",8
