C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/02/26,07:30:19,0000000505199360,DEMAND,0000000505199358
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/02/26 07:00:00",NSW1,659.322,0.6,SATELLITE,"2026/02/26 07:20:18"
D,ROOFTOP,ACTUAL,2,"2026/02/26 07:00:00",QLD1,902.806,0.6,SATELLITE,"2026/02/26 07:20:18"
D,ROOFTOP,ACTUAL,2,"2026/02/26 07:00:00",SA1,74.904,0.6,SATELLITE,"2026/02/26 07:20:18"
D,ROOFTOP,ACTUAL,2,"2026/02/26 07:00:00",TAS1,18.912,0.6,SATELLITE,"2026/02/26 07:20:18"
D,ROOFTOP,ACTUAL,2,"2026/02/26 07:00:00",VIC1,350.77,0.6,SATELLITE,"2026/02/26 07:20:18"
C,"END OF REPORT",8
