C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/01,12:00:18,0000000505710716,DEMAND,0000000505710714
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/01 11:30:00",NSW1,2657.449,0.6,SATELLITE,"2026/03/01 11:50:18"
D,ROOFTOP,ACTUAL,2,"2026/03/01 11:30:00",QLD1,3453.034,0.6,SATELLITE,"2026/03/01 11:50:18"
D,ROOFTOP,ACTUAL,2,"2026/03/01 11:30:00",SA1,399.933,0.6,SATELLITE,"2026/03/01 11:50:18"
D,ROOFTOP,ACTUAL,2,"2026/03/01 11:30:00",TAS1,94.761,0.6,SATELLITE,"2026/03/01 11:50:18"
D,ROOFTOP,ACTUAL,2,"2026/03/01 11:30:00",VIC1,2341.711,0.6,SATELLITE,"2026/03/01 11:50:18"
C,"END OF REPORT",8
