C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/03,16:00:16,0000000506128652,DEMAND,0000000506128650
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/03 15:30:00",NSW1,1308.563,0.6,SATELLITE,"2026/03/03 15:50:18"
D,ROOFTOP,ACTUAL,2,"2026/03/03 15:30:00",QLD1,2968.963,0.6,SATELLITE,"2026/03/03 15:50:18"
D,ROOFTOP,ACTUAL,2,"2026/03/03 15:30:00",SA1,1684.395,0.6,SATELLITE,"2026/03/03 15:50:18"
D,ROOFTOP,ACTUAL,2,"2026/03/03 15:30:00",TAS1,163.409,0.6,SATELLITE,"2026/03/03 15:50:18"
D,ROOFTOP,ACTUAL,2,"2026/03/03 15:30:00",VIC1,1780.523,0.6,SATELLITE,"2026/03/03 15:50:19"
C,"END OF REPORT",8
