C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/11,21:00:18,0000000507408186,DEMAND,0000000507408184
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/11 20:30:00",NSW1,0,0.6,SATELLITE,"2026/03/11 20:50:20"
D,ROOFTOP,ACTUAL,2,"2026/03/11 20:30:00",QLD1,0,0.6,SATELLITE,"2026/03/11 20:50:20"
D,ROOFTOP,ACTUAL,2,"2026/03/11 20:30:00",SA1,0,0.6,SATELLITE,"2026/03/11 20:50:20"
D,ROOFTOP,ACTUAL,2,"2026/03/11 20:30:00",TAS1,0,0.6,SATELLITE,"2026/03/11 20:50:20"
D,ROOFTOP,ACTUAL,2,"2026/03/11 20:30:00",VIC1,0,0.6,SATELLITE,"2026/03/11 20:50:20"
C,"END OF REPORT",8
