C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/15,17:30:17,0000000508015677,DEMAND,0000000508015675
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/15 17:00:00",NSW1,1479.026,0.6,SATELLITE,"2026/03/15 17:20:17"
D,ROOFTOP,ACTUAL,2,"2026/03/15 17:00:00",QLD1,881.871,0.6,SATELLITE,"2026/03/15 17:20:17"
D,ROOFTOP,ACTUAL,2,"2026/03/15 17:00:00",SA1,804.048,0.6,SATELLITE,"2026/03/15 17:20:17"
D,ROOFTOP,ACTUAL,2,"2026/03/15 17:00:00",TAS1,74.762,0.6,SATELLITE,"2026/03/15 17:20:17"
D,ROOFTOP,ACTUAL,2,"2026/03/15 17:00:00",VIC1,630.618,0.6,SATELLITE,"2026/03/15 17:20:17"
C,"END OF REPORT",8
