C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/02,16:00:16,0000000505884657,DEMAND,0000000505884655
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/02 15:30:00",NSW1,1498.768,0.6,SATELLITE,"2026/03/02 15:50:20"
D,ROOFTOP,ACTUAL,2,"2026/03/02 15:30:00",QLD1,2373.177,0.6,SATELLITE,"2026/03/02 15:50:20"
D,ROOFTOP,ACTUAL,2,"2026/03/02 15:30:00",SA1,380.277,0.6,SATELLITE,"2026/03/02 15:50:20"
D,ROOFTOP,ACTUAL,2,"2026/03/02 15:30:00",TAS1,66.924,0.6,SATELLITE,"2026/03/02 15:50:20"
D,ROOFTOP,ACTUAL,2,"2026/03/02 15:30:00",VIC1,529.863,0.6,SATELLITE,"2026/03/02 15:50:20"
C,"END OF REPORT",8
