C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/02,13:30:12,0000000505868213,DEMAND,0000000505868211
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/02 13:00:00",NSW1,3169.938,0.6,SATELLITE,"2026/03/02 13:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/02 13:00:00",QLD1,3954.818,0.6,SATELLITE,"2026/03/02 13:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/02 13:00:00",SA1,469.996,0.6,SATELLITE,"2026/03/02 13:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/02 13:00:00",TAS1,84.113,0.6,SATELLITE,"2026/03/02 13:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/02 13:00:00",VIC1,565.212,0.6,SATELLITE,"2026/03/02 13:20:19"
C,"END OF REPORT",8
