C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/02/27,05:30:15,0000000505363301,DEMAND,0000000505363299
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/02/27 05:00:00",NSW1,0,0.6,SATELLITE,"2026/02/27 05:20:18"
D,ROOFTOP,ACTUAL,2,"2026/02/27 05:00:00",QLD1,0,0.6,SATELLITE,"2026/02/27 05:20:18"
D,ROOFTOP,ACTUAL,2,"2026/02/27 05:00:00",SA1,0,0.6,SATELLITE,"2026/02/27 05:20:18"
D,ROOFTOP,ACTUAL,2,"2026/02/27 05:00:00",TAS1,0,0.6,SATELLITE,"2026/02/27 05:20:18"
D,ROOFTOP,ACTUAL,2,"2026/02/27 05:00:00",VIC1,0,0.6,SATELLITE,"2026/02/27 05:20:18"
C,"END OF REPORT",8
