C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/04,11:30:09,0000000506275968,DEMAND,0000000506275966
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/04 11:00:00",NSW1,2989.041,0.6,SATELLITE,"2026/03/04 11:20:21"
D,ROOFTOP,ACTUAL,2,"2026/03/04 11:00:00",QLD1,4245.777,0.6,SATELLITE,"2026/03/04 11:20:22"
D,ROOFTOP,ACTUAL,2,"2026/03/04 11:00:00",SA1,1820.577,0.6,SATELLITE,"2026/03/04 11:20:22"
D,ROOFTOP,ACTUAL,2,"2026/03/04 11:00:00",TAS1,239.715,0.6,SATELLITE,"2026/03/04 11:20:22"
D,ROOFTOP,ACTUAL,2,"2026/03/04 11:00:00",VIC1,1593.306,0.6,SATELLITE,"2026/03/04 11:20:22"
C,"END OF REPORT",8
