C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/11,19:00:20,0000000507395520,DEMAND,0000000507395520
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/03/11 19:00:00",10489,0,0,"2026/03/11 19:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/03/11 19:00:00",8395,0,0,"2026/03/11 19:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/03/11 19:00:00",1532,0,0,"2026/03/11 19:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/03/11 19:00:00",1066,0,0,"2026/03/11 19:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/03/11 19:00:00",5866,0,0,"2026/03/11 19:00:02"
C,"END OF REPORT",8
