C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/11,06:30:21,0000000507307797,DEMAND,0000000507307797
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/03/11 06:30:00",7902,0,0,"2026/03/11 06:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/03/11 06:30:00",6415,0,0,"2026/03/11 06:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/03/11 06:30:00",1587,0,0,"2026/03/11 06:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/03/11 06:30:00",1037,0,0,"2026/03/11 06:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/03/11 06:30:00",5805,0,0,"2026/03/11 06:30:01"
C,"END OF REPORT",8
