SETTLEMENTDATE,REGIONID,TOTALDEMAND
2026-03-12 03:30:00,VIC1,4263
2026-03-12 04:00:00,VIC1,4327
2026-03-12 04:30:00,VIC1,4473
2026-03-12 05:00:00,VIC1,4628
2026-03-12 05:30:00,VIC1,4916
2026-03-12 06:00:00,VIC1,5222
2026-03-12 06:30:00,VIC1,5614
2026-03-12 07:00:00,VIC1,5757
2026-03-12 07:30:00,VIC1,5530
2026-03-12 08:00:00,VIC1,5189
2026-03-12 08:30:00,VIC1,5068
2026-03-12 09:00:00,VIC1,4943
2026-03-12 09:30:00,VIC1,4679
2026-03-12 10:00:00,VIC1,4662
2026-03-12 10:30:00,VIC1,4723
2026-03-12 11:00:00,VIC1,4598
2026-03-12 11:30:00,VIC1,4422
2026-03-12 12:00:00,VIC1,4399
2026-03-12 12:30:00,VIC1,4306
2026-03-12 13:00:00,VIC1,4216
2026-03-12 13:30:00,VIC1,4175
2026-03-12 14:00:00,VIC1,4256
2026-03-12 14:30:00,VIC1,4227
2026-03-12 15:00:00,VIC1,4157
2026-03-12 15:30:00,VIC1,4286
2026-03-12 16:00:00,VIC1,4701
2026-03-12 16:30:00,VIC1,5062
2026-03-12 17:00:00,VIC1,5388
2026-03-12 17:30:00,VIC1,5551
2026-03-12 18:00:00,VIC1,5749
2026-03-12 18:30:00,VIC1,5838
2026-03-12 19:00:00,VIC1,5932
2026-03-12 19:30:00,VIC1,5914
2026-03-12 20:00:00,VIC1,5781
2026-03-12 20:30:00,VIC1,5623
2026-03-12 21:00:00,VIC1,5456
2026-03-12 21:30:00,VIC1,5261
2026-03-12 22:00:00,VIC1,5069
2026-03-12 22:30:00,VIC1,4945
2026-03-12 23:00:00,VIC1,4797
2026-03-12 23:30:00,VIC1,4913
2026-03-13 00:00:00,VIC1,4891
2026-03-13 00:30:00,VIC1,4745
2026-03-13 01:00:00,VIC1,4565
2026-03-13 01:30:00,VIC1,4481
2026-03-13 02:00:00,VIC1,4386
2026-03-13 02:30:00,VIC1,4323
2026-03-13 03:00:00,VIC1,4307
2026-03-13 03:30:00,VIC1,4330
2026-03-13 04:00:00,VIC1,4333
2026-03-13 04:30:00,VIC1,4460
2026-03-13 05:00:00,VIC1,4623
2026-03-13 05:30:00,VIC1,4916
2026-03-13 06:00:00,VIC1,5253
2026-03-13 06:30:00,VIC1,5617
2026-03-13 07:00:00,VIC1,5824
2026-03-13 07:30:00,VIC1,5568
2026-03-13 08:00:00,VIC1,5285
2026-03-13 08:30:00,VIC1,5097
2026-03-13 09:00:00,VIC1,4825
2026-03-13 09:30:00,VIC1,4710
2026-03-13 10:00:00,VIC1,4516
2026-03-13 10:30:00,VIC1,4274
2026-03-13 11:00:00,VIC1,4005
2026-03-13 11:30:00,VIC1,3732
2026-03-13 12:00:00,VIC1,3459
2026-03-13 12:30:00,VIC1,3325
2026-03-13 13:00:00,VIC1,3236
2026-03-13 13:30:00,VIC1,3164
2026-03-13 14:00:00,VIC1,3224
2026-03-13 14:30:00,VIC1,3341
2026-03-13 15:00:00,VIC1,3483
2026-03-13 15:30:00,VIC1,3597
2026-03-13 16:00:00,VIC1,3871
2026-03-13 16:30:00,VIC1,4147
2026-03-13 17:00:00,VIC1,4569
2026-03-13 17:30:00,VIC1,4912
2026-03-13 18:00:00,VIC1,5309
2026-03-13 18:30:00,VIC1,5537
2026-03-13 19:00:00,VIC1,5610
2026-03-13 19:30:00,VIC1,5648
2026-03-13 20:00:00,VIC1,5578
2026-03-13 20:30:00,VIC1,5398
2026-03-13 21:00:00,VIC1,5251
2026-03-13 21:30:00,VIC1,5165
2026-03-13 22:00:00,VIC1,5011
2026-03-13 22:30:00,VIC1,4936
2026-03-13 23:00:00,VIC1,4847
2026-03-13 23:30:00,VIC1,4940
2026-03-14 00:00:00,VIC1,4894
2026-03-14 00:30:00,VIC1,4736
2026-03-14 01:00:00,VIC1,4595
2026-03-14 01:30:00,VIC1,4523
2026-03-14 02:00:00,VIC1,4367
2026-03-14 02:30:00,VIC1,4319
2026-03-14 03:00:00,VIC1,4241
2026-03-14 03:30:00,VIC1,4252
2026-03-14 04:00:00,VIC1,4239
2026-03-14 04:30:00,VIC1,4311
2026-03-14 05:00:00,VIC1,4368
2026-03-14 05:30:00,VIC1,4488
2026-03-14 06:00:00,VIC1,4652
2026-03-14 06:30:00,VIC1,4804
2026-03-14 07:00:00,VIC1,4812
2026-03-14 07:30:00,VIC1,4657
2026-03-14 08:00:00,VIC1,4494
2026-03-14 08:30:00,VIC1,4275
2026-03-14 09:00:00,VIC1,3887
2026-03-14 09:30:00,VIC1,3525
2026-03-14 10:00:00,VIC1,3121
2026-03-14 10:30:00,VIC1,2928
2026-03-14 11:00:00,VIC1,2753
2026-03-14 11:30:00,VIC1,2480
2026-03-14 12:00:00,VIC1,2313
2026-03-14 12:30:00,VIC1,2169
2026-03-14 13:00:00,VIC1,2156
2026-03-14 13:30:00,VIC1,2185
2026-03-14 14:00:00,VIC1,2284
2026-03-14 14:30:00,VIC1,2463
2026-03-14 15:00:00,VIC1,2666
2026-03-14 15:30:00,VIC1,2963
2026-03-14 16:00:00,VIC1,3383
2026-03-14 16:30:00,VIC1,3908
2026-03-14 17:00:00,VIC1,4478
2026-03-14 17:30:00,VIC1,4819
2026-03-14 18:00:00,VIC1,4993
2026-03-14 18:30:00,VIC1,5238
2026-03-14 19:00:00,VIC1,5301
2026-03-14 19:30:00,VIC1,5319
2026-03-14 20:00:00,VIC1,5222
2026-03-14 20:30:00,VIC1,5115
2026-03-14 21:00:00,VIC1,5008
2026-03-14 21:30:00,VIC1,4879
2026-03-14 22:00:00,VIC1,4802
2026-03-14 22:30:00,VIC1,4698
2026-03-14 23:00:00,VIC1,4655
2026-03-14 23:30:00,VIC1,4755
