0,1,2,3,4,5,6,7,8,9
D,ROOFTOP,ACTUAL,2,2026/03/08 16:30:00,TAS1,106.644,0.6,SATELLITE,2026/03/08 16:50:18
D,ROOFTOP,ACTUAL,2,2026/03/08 16:30:00,VIC1,1607.116,0.6,SATELLITE,2026/03/08 16:50:18
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/15,03:30:16,0000000507923696,DEMAND,0000000507923694
D,ROOFTOP,ACTUAL,2,2026/03/15 03:00:00,NSW1,0,0.6,SATELLITE,2026/03/15 03:20:20
D,ROOFTOP,ACTUAL,2,2026/03/15 03:00:00,QLD1,0,0.6,SATELLITE,2026/03/15 03:20:20
D,ROOFTOP,ACTUAL,2,2026/03/15 03:00:00,SA1,0,0.6,SATELLITE,2026/03/15 03:20:20
D,ROOFTOP,ACTUAL,2,2026/03/15 03:00:00,TAS1,0,0.6,SATELLITE,2026/03/15 03:20:20
D,ROOFTOP,ACTUAL,2,2026/03/15 03:00:00,VIC1,0,0.6,SATELLITE,2026/03/15 03:20:20
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/17,02:30:19,0000000508235193,DEMAND,0000000508235191
D,ROOFTOP,ACTUAL,2,2026/03/17 02:00:00,NSW1,0,0.6,SATELLITE,2026/03/17 02:20:20
D,ROOFTOP,ACTUAL,2,2026/03/17 02:00:00,QLD1,0,0.6,SATELLITE,2026/03/17 02:20:20
D,ROOFTOP,ACTUAL,2,2026/03/17 02:00:00,SA1,0,0.6,SATELLITE,2026/03/17 02:20:20
D,ROOFTOP,ACTUAL,2,2026/03/17 02:00:00,TAS1,0,0.6,SATELLITE,2026/03/17 02:20:20
D,ROOFTOP,ACTUAL,2,2026/03/17 02:00:00,VIC1,0,0.6,SATELLITE,2026/03/17 02:20:20
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/13,08:00:18,0000000507635928,DEMAND,0000000507635926
D,ROOFTOP,ACTUAL,2,2026/03/13 07:30:00,NSW1,953.289,0.6,SATELLITE,2026/03/13 07:50:19
D,ROOFTOP,ACTUAL,2,2026/03/13 07:30:00,QLD1,1415.808,0.6,SATELLITE,2026/03/13 07:50:19
D,ROOFTOP,ACTUAL,2,2026/03/13 07:30:00,SA1,169.886,0.6,SATELLITE,2026/03/13 07:50:19
D,ROOFTOP,ACTUAL,2,2026/03/13 07:30:00,TAS1,50.916,0.6,SATELLITE,2026/03/13 07:50:19
D,ROOFTOP,ACTUAL,2,2026/03/13 07:30:00,VIC1,596.905,0.6,SATELLITE,2026/03/13 07:50:19
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/11,07:00:16,0000000507310912,DEMAND,0000000507310910
D,ROOFTOP,ACTUAL,2,2026/03/11 06:30:00,NSW1,339.878,0.6,SATELLITE,2026/03/11 06:50:19
D,ROOFTOP,ACTUAL,2,2026/03/11 06:30:00,QLD1,342.824,0.6,SATELLITE,2026/03/11 06:50:19
D,ROOFTOP,ACTUAL,2,2026/03/11 06:30:00,SA1,0.049,0.6,SATELLITE,2026/03/11 06:50:19
D,ROOFTOP,ACTUAL,2,2026/03/11 06:30:00,TAS1,2.339,0.6,SATELLITE,2026/03/11 06:50:19
D,ROOFTOP,ACTUAL,2,2026/03/11 06:30:00,VIC1,23.014,0.6,SATELLITE,2026/03/11 06:50:19
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/18,07:30:17,0000000508410626,DEMAND,0000000508410624
D,ROOFTOP,ACTUAL,2,2026/03/18 07:00:00,NSW1,450.296,0.6,SATELLITE,2026/03/18 07:20:20
D,ROOFTOP,ACTUAL,2,2026/03/18 07:00:00,QLD1,691.54,0.6,SATELLITE,2026/03/18 07:20:20
D,ROOFTOP,ACTUAL,2,2026/03/18 07:00:00,SA1,14.97,0.6,SATELLITE,2026/03/18 07:20:20
D,ROOFTOP,ACTUAL,2,2026/03/18 07:00:00,TAS1,19.485,0.6,SATELLITE,2026/03/18 07:20:20
D,ROOFTOP,ACTUAL,2,2026/03/18 07:00:00,VIC1,205.164,0.6,SATELLITE,2026/03/18 07:20:20
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/16,14:30:18,0000000508163333,DEMAND,0000000508163331
D,ROOFTOP,ACTUAL,2,2026/03/16 14:00:00,NSW1,3852.961,0.6,SATELLITE,2026/03/16 14:20:17
D,ROOFTOP,ACTUAL,2,2026/03/16 14:00:00,QLD1,3116.164,0.6,SATELLITE,2026/03/16 14:20:17
D,ROOFTOP,ACTUAL,2,2026/03/16 14:00:00,SA1,232.252,0.6,SATELLITE,2026/03/16 14:20:17
D,ROOFTOP,ACTUAL,2,2026/03/16 14:00:00,TAS1,61.301,0.6,SATELLITE,2026/03/16 14:20:17
D,ROOFTOP,ACTUAL,2,2026/03/16 14:00:00,VIC1,858.048,0.6,SATELLITE,2026/03/16 14:20:18
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/11,04:30:17,0000000507295859,DEMAND,0000000507295857
D,ROOFTOP,ACTUAL,2,2026/03/11 04:00:00,NSW1,0,0.6,SATELLITE,2026/03/11 04:20:20
D,ROOFTOP,ACTUAL,2,2026/03/11 04:00:00,QLD1,0,0.6,SATELLITE,2026/03/11 04:20:20
