SETTLEMENTDATE,REGIONID,PV_MW
2026-03-12 02:30:00,VIC1,0.0
2026-03-12 03:00:00,VIC1,0.0
2026-03-12 03:30:00,VIC1,0.0
2026-03-12 04:00:00,VIC1,0.0
2026-03-12 04:30:00,VIC1,0.0
2026-03-12 05:00:00,VIC1,0.0
2026-03-12 05:30:00,VIC1,0.0
2026-03-12 06:00:00,VIC1,0.0
2026-03-12 06:30:00,VIC1,56.737
2026-03-12 07:00:00,VIC1,237.785
2026-03-12 07:30:00,VIC1,596.939
2026-03-12 08:00:00,VIC1,920.083
2026-03-12 08:30:00,VIC1,1147.194
2026-03-12 09:00:00,VIC1,1360.576
2026-03-12 09:30:00,VIC1,1534.615
2026-03-12 10:00:00,VIC1,1587.221
2026-03-12 10:30:00,VIC1,1397.449
2026-03-12 11:00:00,VIC1,1517.467
2026-03-12 11:30:00,VIC1,1585.794
2026-03-12 12:00:00,VIC1,1661.057
2026-03-12 12:30:00,VIC1,1725.101
2026-03-12 13:00:00,VIC1,1673.155
2026-03-12 13:30:00,VIC1,1624.516
2026-03-12 14:00:00,VIC1,1535.833
2026-03-12 14:30:00,VIC1,1575.906
2026-03-12 15:00:00,VIC1,1564.33
2026-03-12 15:30:00,VIC1,1352.286
2026-03-12 16:00:00,VIC1,1196.281
2026-03-12 16:30:00,VIC1,959.186
2026-03-12 17:00:00,VIC1,736.39
2026-03-12 17:30:00,VIC1,525.282
2026-03-12 18:00:00,VIC1,305.565
2026-03-12 18:30:00,VIC1,117.226
2026-03-12 19:00:00,VIC1,4.288
2026-03-12 19:30:00,VIC1,0.0
2026-03-12 20:00:00,VIC1,0.0
2026-03-12 20:30:00,VIC1,0.0
2026-03-12 21:00:00,VIC1,0.0
2026-03-12 21:30:00,VIC1,0.0
2026-03-12 22:00:00,VIC1,0.0
2026-03-12 22:30:00,VIC1,0.0
2026-03-12 23:00:00,VIC1,0.0
2026-03-12 23:30:00,VIC1,0.0
2026-03-13 00:00:00,VIC1,0.0
2026-03-13 00:30:00,VIC1,0.0
2026-03-13 01:00:00,VIC1,0.0
2026-03-13 01:30:00,VIC1,0.0
2026-03-13 02:00:00,VIC1,0.0
2026-03-13 02:30:00,VIC1,0.0
2026-03-13 03:00:00,VIC1,0.0
2026-03-13 03:30:00,VIC1,0.0
2026-03-13 04:00:00,VIC1,0.0
2026-03-13 04:30:00,VIC1,0.0
2026-03-13 05:00:00,VIC1,0.0
2026-03-13 05:30:00,VIC1,0.0
2026-03-13 06:00:00,VIC1,0.0
2026-03-13 06:30:00,VIC1,52.485
2026-03-13 07:00:00,VIC1,245.685
2026-03-13 07:30:00,VIC1,596.905
2026-03-13 08:00:00,VIC1,997.443
2026-03-13 08:30:00,VIC1,1367.412
2026-03-13 09:00:00,VIC1,1609.962
2026-03-13 09:30:00,VIC1,1771.082
2026-03-13 10:00:00,VIC1,1958.078
2026-03-13 10:30:00,VIC1,2150.566
2026-03-13 11:00:00,VIC1,2457.95
2026-03-13 11:30:00,VIC1,2743.658
2026-03-13 12:00:00,VIC1,2975.798
2026-03-13 12:30:00,VIC1,3062.583
2026-03-13 13:00:00,VIC1,3046.906
2026-03-13 13:30:00,VIC1,3045.632
2026-03-13 14:00:00,VIC1,2936.683
2026-03-13 14:30:00,VIC1,2727.776
2026-03-13 15:00:00,VIC1,2537.526
2026-03-13 15:30:00,VIC1,2310.882
2026-03-13 16:00:00,VIC1,2041.866
2026-03-13 16:30:00,VIC1,1694.388
2026-03-13 17:00:00,VIC1,1290.299
2026-03-13 17:30:00,VIC1,864.472
2026-03-13 18:00:00,VIC1,453.518
2026-03-13 18:30:00,VIC1,137.399
2026-03-13 19:00:00,VIC1,5.492
2026-03-13 19:30:00,VIC1,0.0
2026-03-13 20:00:00,VIC1,0.0
2026-03-13 20:30:00,VIC1,0.0
2026-03-13 21:00:00,VIC1,0.0
2026-03-13 21:30:00,VIC1,0.0
2026-03-13 22:00:00,VIC1,0.0
2026-03-13 22:30:00,VIC1,0.0
2026-03-13 23:00:00,VIC1,0.0
2026-03-13 23:30:00,VIC1,0.0
2026-03-14 00:00:00,VIC1,0.0
2026-03-14 00:30:00,VIC1,0.0
2026-03-14 01:00:00,VIC1,0.0
2026-03-14 01:30:00,VIC1,0.0
2026-03-14 02:00:00,VIC1,0.0
2026-03-14 02:30:00,VIC1,0.0
2026-03-14 03:00:00,VIC1,0.0
2026-03-14 03:30:00,VIC1,0.0
2026-03-14 04:00:00,VIC1,0.0
2026-03-14 04:30:00,VIC1,0.0
2026-03-14 05:00:00,VIC1,0.0
2026-03-14 05:30:00,VIC1,0.0
2026-03-14 06:00:00,VIC1,0.0
2026-03-14 06:30:00,VIC1,48.684
2026-03-14 07:00:00,VIC1,242.366
2026-03-14 07:30:00,VIC1,616.474
2026-03-14 08:00:00,VIC1,1001.99
2026-03-14 08:30:00,VIC1,1413.086
2026-03-14 09:00:00,VIC1,1876.514
2026-03-14 09:30:00,VIC1,2302.116
2026-03-14 10:00:00,VIC1,2692.574
2026-03-14 10:30:00,VIC1,3017.164
2026-03-14 11:00:00,VIC1,3322.119
2026-03-14 11:30:00,VIC1,3562.405
2026-03-14 12:00:00,VIC1,3686.692
2026-03-14 12:30:00,VIC1,3732.187
2026-03-14 13:00:00,VIC1,3718.236
2026-03-14 13:30:00,VIC1,3622.568
2026-03-14 14:00:00,VIC1,3459.842
2026-03-14 14:30:00,VIC1,3215.539
2026-03-14 15:00:00,VIC1,2929.524
