0,1,2,3,4,5,6,7,8,9
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/11 08:00:00,1707,0,0,2026/03/11 08:00:02
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/11 08:00:00,1064,0,0,2026/03/11 08:00:02
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/11 08:00:00,6015,0,0,2026/03/11 08:00:02
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/16,19:30:20,0000000508195531,DEMAND,0000000508195531
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/16 19:30:00,9280,0,0,2026/03/16 19:30:03
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/16 19:30:00,8003,0,0,2026/03/16 19:30:03
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/16 19:30:00,1612,0,0,2026/03/16 19:30:03
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/16 19:30:00,1093,0,0,2026/03/16 19:30:03
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/16 19:30:00,5954,0,0,2026/03/16 19:30:03
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/13,17:30:47,0000000507704928,DEMAND,0000000507704928
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/13 17:30:00,8099,0,0,2026/03/13 17:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/13 17:30:00,8368,0,0,2026/03/13 17:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/13 17:30:00,1117,0,0,2026/03/13 17:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/13 17:30:00,1022,0,0,2026/03/13 17:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/13 17:30:00,4912,0,0,2026/03/13 17:30:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/09,00:00:20,0000000506965923,DEMAND,0000000506965923
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/09 00:00:00,7104,0,0,2026/03/09 00:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/09 00:00:00,6350,0,0,2026/03/09 00:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/09 00:00:00,1219,0,0,2026/03/09 00:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/09 00:00:00,944,0,0,2026/03/09 00:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/09 00:00:00,4681,0,0,2026/03/09 00:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/17,15:30:19,0000000508317774,DEMAND,0000000508317774
