C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/02/27,10:00:16,0000000505394024,DEMAND,0000000505394022
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/02/27 09:30:00",NSW1,2062.915,0.6,SATELLITE,"2026/02/27 09:50:20"
D,ROOFTOP,ACTUAL,2,"2026/02/27 09:30:00",QLD1,2399.986,0.6,SATELLITE,"2026/02/27 09:50:20"
D,ROOFTOP,ACTUAL,2,"2026/02/27 09:30:00",SA1,853.053,0.6,SATELLITE,"2026/02/27 09:50:20"
D,ROOFTOP,ACTUAL,2,"2026/02/27 09:30:00",TAS1,177.865,0.6,SATELLITE,"2026/02/27 09:50:20"
D,ROOFTOP,ACTUAL,2,"2026/02/27 09:30:00",VIC1,2242.125,0.6,SATELLITE,"2026/02/27 09:50:20"
C,"END OF REPORT",8
