C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/25,14:00:09,0000000509633456,DEMAND,0000000509633454
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/25 13:30:00",NSW1,4624.107,0.6,SATELLITE,"2026/03/25 13:50:22"
D,ROOFTOP,ACTUAL,2,"2026/03/25 13:30:00",QLD1,4429.755,0.6,SATELLITE,"2026/03/25 13:50:22"
D,ROOFTOP,ACTUAL,2,"2026/03/25 13:30:00",SA1,1663.203,0.6,SATELLITE,"2026/03/25 13:50:22"
D,ROOFTOP,ACTUAL,2,"2026/03/25 13:30:00",TAS1,121.113,0.6,SATELLITE,"2026/03/25 13:50:22"
D,ROOFTOP,ACTUAL,2,"2026/03/25 13:30:00",VIC1,1301.282,0.6,SATELLITE,"2026/03/25 13:50:23"
C,"END OF REPORT",8
