C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/23,10:00:18,0000000509280504,DEMAND,0000000509280502
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/23 09:30:00",NSW1,3157.312,0.6,SATELLITE,"2026/03/23 09:50:24"
D,ROOFTOP,ACTUAL,2,"2026/03/23 09:30:00",QLD1,3323.731,0.6,SATELLITE,"2026/03/23 09:50:24"
D,ROOFTOP,ACTUAL,2,"2026/03/23 09:30:00",SA1,1083.145,0.6,SATELLITE,"2026/03/23 09:50:25"
D,ROOFTOP,ACTUAL,2,"2026/03/23 09:30:00",TAS1,81.722,0.6,SATELLITE,"2026/03/23 09:50:25"
D,ROOFTOP,ACTUAL,2,"2026/03/23 09:30:00",VIC1,1964.106,0.6,SATELLITE,"2026/03/23 09:50:25"
C,"END OF REPORT",8
