C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/25,20:00:20,0000000509673825,DEMAND,0000000509673823
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/25 19:30:00",NSW1,0,0.6,SATELLITE,"2026/03/25 19:50:21"
D,ROOFTOP,ACTUAL,2,"2026/03/25 19:30:00",QLD1,0,0.6,SATELLITE,"2026/03/25 19:50:21"
D,ROOFTOP,ACTUAL,2,"2026/03/25 19:30:00",SA1,0,0.6,SATELLITE,"2026/03/25 19:50:22"
D,ROOFTOP,ACTUAL,2,"2026/03/25 19:30:00",TAS1,0,0.6,SATELLITE,"2026/03/25 19:50:22"
D,ROOFTOP,ACTUAL,2,"2026/03/25 19:30:00",VIC1,0,0.6,SATELLITE,"2026/03/25 19:50:22"
C,"END OF REPORT",8
