C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/02,21:30:17,0000000505938689,DEMAND,0000000505938687
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/02 21:00:00",NSW1,0,0.6,SATELLITE,"2026/03/02 21:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/02 21:00:00",QLD1,0,0.6,SATELLITE,"2026/03/02 21:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/02 21:00:00",SA1,0,0.6,SATELLITE,"2026/03/02 21:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/02 21:00:00",TAS1,0,0.6,SATELLITE,"2026/03/02 21:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/02 21:00:00",VIC1,0,0.6,SATELLITE,"2026/03/02 21:20:19"
C,"END OF REPORT",8
