C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/01,13:00:18,0000000505717429,DEMAND,0000000505717427
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/01 12:30:00",NSW1,2963.295,0.6,SATELLITE,"2026/03/01 12:50:19"
D,ROOFTOP,ACTUAL,2,"2026/03/01 12:30:00",QLD1,3679.34,0.6,SATELLITE,"2026/03/01 12:50:19"
D,ROOFTOP,ACTUAL,2,"2026/03/01 12:30:00",SA1,398.69,0.6,SATELLITE,"2026/03/01 12:50:19"
D,ROOFTOP,ACTUAL,2,"2026/03/01 12:30:00",TAS1,154.452,0.6,SATELLITE,"2026/03/01 12:50:19"
D,ROOFTOP,ACTUAL,2,"2026/03/01 12:30:00",VIC1,2105.216,0.6,SATELLITE,"2026/03/01 12:50:19"
C,"END OF REPORT",8
