C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/02/27,16:30:09,0000000505441650,DEMAND,0000000505441648
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/02/27 16:00:00",NSW1,1727.208,0.6,SATELLITE,"2026/02/27 16:20:18"
D,ROOFTOP,ACTUAL,2,"2026/02/27 16:00:00",QLD1,1300.247,0.6,SATELLITE,"2026/02/27 16:20:18"
D,ROOFTOP,ACTUAL,2,"2026/02/27 16:00:00",SA1,1152.316,0.6,SATELLITE,"2026/02/27 16:20:18"
D,ROOFTOP,ACTUAL,2,"2026/02/27 16:00:00",TAS1,118.945,0.6,SATELLITE,"2026/02/27 16:20:19"
D,ROOFTOP,ACTUAL,2,"2026/02/27 16:00:00",VIC1,1314.906,0.6,SATELLITE,"2026/02/27 16:20:19"
C,"END OF REPORT",8
