C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/08,13:30:19,0000000506901781,DEMAND,0000000506901779
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/08 13:00:00",NSW1,2741.941,0.6,SATELLITE,"2026/03/08 13:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/08 13:00:00",QLD1,1325.57,0.6,SATELLITE,"2026/03/08 13:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/08 13:00:00",SA1,2086.637,0.6,SATELLITE,"2026/03/08 13:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/08 13:00:00",TAS1,186.669,0.6,SATELLITE,"2026/03/08 13:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/08 13:00:00",VIC1,2660.441,0.6,SATELLITE,"2026/03/08 13:20:19"
C,"END OF REPORT",8
