C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/10,06:30:16,0000000507155417,DEMAND,0000000507155415
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/10 06:00:00",NSW1,42.264,0.6,SATELLITE,"2026/03/10 06:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/10 06:00:00",QLD1,44.991,0.6,SATELLITE,"2026/03/10 06:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/10 06:00:00",SA1,0,0.6,SATELLITE,"2026/03/10 06:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/10 06:00:00",TAS1,0.354,0.6,SATELLITE,"2026/03/10 06:20:19"
D,ROOFTOP,ACTUAL,2,"2026/03/10 06:00:00",VIC1,0,0.6,SATELLITE,"2026/03/10 06:20:19"
C,"END OF REPORT",8
