C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/10,15:30:16,0000000507217650,DEMAND,0000000507217648
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/10 15:00:00",NSW1,3461.109,0.6,SATELLITE,"2026/03/10 15:20:20"
D,ROOFTOP,ACTUAL,2,"2026/03/10 15:00:00",QLD1,2784.939,0.6,SATELLITE,"2026/03/10 15:20:20"
D,ROOFTOP,ACTUAL,2,"2026/03/10 15:00:00",SA1,1794.109,0.6,SATELLITE,"2026/03/10 15:20:20"
D,ROOFTOP,ACTUAL,2,"2026/03/10 15:00:00",TAS1,163.474,0.6,SATELLITE,"2026/03/10 15:20:20"
D,ROOFTOP,ACTUAL,2,"2026/03/10 15:00:00",VIC1,2954.856,0.6,SATELLITE,"2026/03/10 15:20:20"
C,"END OF REPORT",8
