C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/07,13:00:17,0000000506747919,DEMAND,0000000506747917
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/07 12:30:00",NSW1,3822.568,0.6,SATELLITE,"2026/03/07 12:50:17"
D,ROOFTOP,ACTUAL,2,"2026/03/07 12:30:00",QLD1,2301.075,0.6,SATELLITE,"2026/03/07 12:50:17"
D,ROOFTOP,ACTUAL,2,"2026/03/07 12:30:00",SA1,1607.801,0.6,SATELLITE,"2026/03/07 12:50:17"
D,ROOFTOP,ACTUAL,2,"2026/03/07 12:30:00",TAS1,180.122,0.6,SATELLITE,"2026/03/07 12:50:17"
D,ROOFTOP,ACTUAL,2,"2026/03/07 12:30:00",VIC1,2594.022,0.6,SATELLITE,"2026/03/07 12:50:17"
C,"END OF REPORT",8
