C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/08,13:00:17,0000000506898587,DEMAND,0000000506898585
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/08 12:30:00",NSW1,2784.573,0.6,SATELLITE,"2026/03/08 12:50:18"
D,ROOFTOP,ACTUAL,2,"2026/03/08 12:30:00",QLD1,1323.674,0.6,SATELLITE,"2026/03/08 12:50:18"
D,ROOFTOP,ACTUAL,2,"2026/03/08 12:30:00",SA1,2060.943,0.6,SATELLITE,"2026/03/08 12:50:18"
D,ROOFTOP,ACTUAL,2,"2026/03/08 12:30:00",TAS1,183.431,0.6,SATELLITE,"2026/03/08 12:50:18"
D,ROOFTOP,ACTUAL,2,"2026/03/08 12:30:00",VIC1,2589.873,0.6,SATELLITE,"2026/03/08 12:50:18"
C,"END OF REPORT",8
