C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/12,02:30:19,0000000507441941,DEMAND,0000000507441941
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/03/12 02:30:00",6897,0,0,"2026/03/12 02:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/03/12 02:30:00",5786,0,0,"2026/03/12 02:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/03/12 02:30:00",1345,0,0,"2026/03/12 02:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/03/12 02:30:00",841,0,0,"2026/03/12 02:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/03/12 02:30:00",4268,0,0,"2026/03/12 02:30:02"
C,"END OF REPORT",8
