C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/10,11:30:21,0000000507190481,DEMAND,0000000507190481
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/03/10 11:30:00",6790,0,0,"2026/03/10 11:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/03/10 11:30:00",5412,0,0,"2026/03/10 11:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/03/10 11:30:00",449,0,0,"2026/03/10 11:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/03/10 11:30:00",930,0,0,"2026/03/10 11:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/03/10 11:30:00",3821,0,0,"2026/03/10 11:30:01"
C,"END OF REPORT",8
