C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/13,07:30:18,0000000507632935,DEMAND,0000000507632935
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/03/13 07:30:00",8090,0,0,"2026/03/13 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/03/13 07:30:00",6721,0,0,"2026/03/13 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/03/13 07:30:00",1537,0,0,"2026/03/13 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/03/13 07:30:00",1151,0,0,"2026/03/13 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/03/13 07:30:00",5568,0,0,"2026/03/13 07:30:01"
C,"END OF REPORT",8
