C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/17,12:00:18,0000000508293254,DEMAND,0000000508293254
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/03/17 12:00:00",7236,0,0,"2026/03/17 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/03/17 12:00:00",5556,0,0,"2026/03/17 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/03/17 12:00:00",1090,0,0,"2026/03/17 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/03/17 12:00:00",866,0,0,"2026/03/17 12:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/03/17 12:00:00",4996,0,0,"2026/03/17 12:00:01"
C,"END OF REPORT",8
