C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/16,17:00:19,0000000508180345,DEMAND,0000000508180345
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/03/16 17:00:00",9540,0,0,"2026/03/16 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/03/16 17:00:00",7583,0,0,"2026/03/16 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/03/16 17:00:00",1609,0,0,"2026/03/16 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/03/16 17:00:00",1110,0,0,"2026/03/16 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/03/16 17:00:00",6148,0,0,"2026/03/16 17:00:01"
C,"END OF REPORT",8
