C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/15,17:00:17,0000000508011799,DEMAND,0000000508011797
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/15 16:30:00",NSW1,2192.393,0.6,SATELLITE,"2026/03/15 16:50:25"
D,ROOFTOP,ACTUAL,2,"2026/03/15 16:30:00",QLD1,1305.243,0.6,SATELLITE,"2026/03/15 16:50:25"
D,ROOFTOP,ACTUAL,2,"2026/03/15 16:30:00",SA1,1000.888,0.6,SATELLITE,"2026/03/15 16:50:25"
D,ROOFTOP,ACTUAL,2,"2026/03/15 16:30:00",TAS1,102.995,0.6,SATELLITE,"2026/03/15 16:50:25"
D,ROOFTOP,ACTUAL,2,"2026/03/15 16:30:00",VIC1,896.466,0.6,SATELLITE,"2026/03/15 16:50:25"
C,"END OF REPORT",8
