C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/06,10:00:17,0000000506571924,DEMAND,0000000506571922
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/06 09:30:00",NSW1,3446.035,0.6,SATELLITE,"2026/03/06 09:50:20"
D,ROOFTOP,ACTUAL,2,"2026/03/06 09:30:00",QLD1,2556.735,0.6,SATELLITE,"2026/03/06 09:50:20"
D,ROOFTOP,ACTUAL,2,"2026/03/06 09:30:00",SA1,1206.481,0.6,SATELLITE,"2026/03/06 09:50:20"
D,ROOFTOP,ACTUAL,2,"2026/03/06 09:30:00",TAS1,180.9,0.6,SATELLITE,"2026/03/06 09:50:20"
D,ROOFTOP,ACTUAL,2,"2026/03/06 09:30:00",VIC1,2032.366,0.6,SATELLITE,"2026/03/06 09:50:20"
C,"END OF REPORT",8
