C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/18,19:30:18,0000000508496451,DEMAND,0000000508496449
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/18 19:00:00",NSW1,0,0.6,SATELLITE,"2026/03/18 19:20:22"
D,ROOFTOP,ACTUAL,2,"2026/03/18 19:00:00",QLD1,0,0.6,SATELLITE,"2026/03/18 19:20:23"
D,ROOFTOP,ACTUAL,2,"2026/03/18 19:00:00",SA1,24.743,0.6,SATELLITE,"2026/03/18 19:20:23"
D,ROOFTOP,ACTUAL,2,"2026/03/18 19:00:00",TAS1,0,0.6,SATELLITE,"2026/03/18 19:20:23"
D,ROOFTOP,ACTUAL,2,"2026/03/18 19:00:00",VIC1,0.043,0.6,SATELLITE,"2026/03/18 19:20:23"
C,"END OF REPORT",8
