C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/13,07:00:17,0000000507628961,DEMAND,0000000507628959
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2026/03/13 06:30:00",NSW1,230.516,0.6,SATELLITE,"2026/03/13 06:50:17"
D,ROOFTOP,ACTUAL,2,"2026/03/13 06:30:00",QLD1,297.219,0.6,SATELLITE,"2026/03/13 06:50:17"
D,ROOFTOP,ACTUAL,2,"2026/03/13 06:30:00",SA1,0,0.6,SATELLITE,"2026/03/13 06:50:17"
D,ROOFTOP,ACTUAL,2,"2026/03/13 06:30:00",TAS1,6.823,0.6,SATELLITE,"2026/03/13 06:50:17"
D,ROOFTOP,ACTUAL,2,"2026/03/13 06:30:00",VIC1,52.485,0.6,SATELLITE,"2026/03/13 06:50:17"
C,"END OF REPORT",8
