C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/15,11:00:13,0000000507971388,DEMAND,0000000507971388
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/03/15 11:00:00",3930,0,0,"2026/03/15 11:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/03/15 11:00:00",4885,0,0,"2026/03/15 11:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/03/15 11:00:00",492,0,0,"2026/03/15 11:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/03/15 11:00:00",797,0,0,"2026/03/15 11:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/03/15 11:00:00",2860,0,0,"2026/03/15 11:00:01"
C,"END OF REPORT",8
