C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/18,14:30:19,0000000508460001,DEMAND,0000000508460001
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2026/03/18 14:30:00",7549,0,0,"2026/03/18 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2026/03/18 14:30:00",6144,0,0,"2026/03/18 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2026/03/18 14:30:00",1178,0,0,"2026/03/18 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2026/03/18 14:30:00",843,0,0,"2026/03/18 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2026/03/18 14:30:00",3871,0,0,"2026/03/18 14:30:01"
C,"END OF REPORT",8
